PeakID	Annotation
1-5376	enhancer
1-8118	enhancer
1-5358	enhancer
1-6958	enhancer
1-3409	enhancer
1-7049	enhancer
1-1437	enhancer
1-3287	enhancer
1-3349	enhancer
1-5005	enhancer
1-8231	enhancer
1-2124	enhancer
1-4496	enhancer
1-4035	enhancer
1-4509	enhancer
1-7384	enhancer
1-4435	enhancer
1-5515	enhancer
1-8147	enhancer
1-7066	enhancer
1-4107	enhancer
1-7059	enhancer
1-7489	enhancer
1-6055	enhancer
1-7962	enhancer
1-2153	enhancer
1-6417	enhancer
1-5024	enhancer
1-6518	enhancer
1-2093	enhancer
1-3869	enhancer
1-8148	enhancer
1-2691	enhancer
1-7749	enhancer
1-4252	enhancer
1-5222	enhancer
1-5823	enhancer
1-4720	enhancer
1-4257	enhancer
1-4733	enhancer
1-38	enhancer
1-2855	enhancer
1-3277	enhancer
1-3734	enhancer
1-1392	enhancer
1-4547	enhancer
1-6555	enhancer
1-4765	enhancer
1-5820	enhancer
1-3358	enhancer
1-5664	enhancer
1-7618	enhancer
1-2061	enhancer
1-1618	enhancer
1-3291	enhancer
1-3081	enhancer
1-7452	enhancer
1-5843	enhancer
1-4715	enhancer
1-393	enhancer
1-3253	enhancer
1-1335	enhancer
1-3335	enhancer
1-7849	enhancer
1-1110	enhancer
1-8155	enhancer
1-1875	enhancer
1-7055	enhancer
1-408	enhancer
1-943	enhancer
1-3830	enhancer
1-945	enhancer
1-3004	enhancer
1-4653	enhancer
1-3795	enhancer
1-3561	enhancer
1-2597	enhancer
1-6035	enhancer
1-7850	enhancer
1-1170	enhancer
1-5821	enhancer
1-5356	enhancer
1-1986	enhancer
1-156	enhancer
1-6228	enhancer
1-7099	enhancer
1-2603	enhancer
1-322	enhancer
1-2416	enhancer
1-5226	enhancer
1-4212	enhancer
1-6612	enhancer
1-764	enhancer
1-6387	enhancer
1-1777	enhancer
1-6213	enhancer
1-5882	enhancer
1-2307	enhancer
1-763	enhancer
1-7774	enhancer
1-7671	enhancer
1-2133	enhancer
1-2459	enhancer
1-4197	enhancer
1-5049	enhancer
1-7651	enhancer
1-8149	enhancer
1-941	enhancer
1-1749	enhancer
1-3531	enhancer
1-6867	enhancer
1-5382	enhancer
1-1427	enhancer
1-7214	enhancer
1-5575	enhancer
1-795	enhancer
1-4417	enhancer
1-6931	enhancer
1-546	enhancer
1-4380	enhancer
1-8140	enhancer
1-5488	enhancer
1-1970	enhancer
1-997	enhancer
1-6913	enhancer
1-295	enhancer
1-7322	enhancer
1-2509	enhancer
1-2436	enhancer
1-6353	enhancer
1-2581	enhancer
1-3061	enhancer
1-5044	enhancer
1-5487	enhancer
1-482	enhancer
1-5332	enhancer
1-4156	enhancer
1-3523	enhancer
1-4274	enhancer
1-2680	enhancer
1-1792	enhancer
1-6800	enhancer
1-8249	enhancer
1-5048	enhancer
1-6583	enhancer
1-6226	enhancer
1-5855	enhancer
1-290	enhancer
1-4915	enhancer
1-2304	enhancer
1-4978	enhancer
1-202	promoter
1-3610	enhancer
1-5206	enhancer
1-4782	enhancer
1-1227	promoter
1-8256	enhancer
1-2851	enhancer
1-471	enhancer
1-134	enhancer
1-3621	enhancer
1-5139	enhancer
1-919	enhancer
1-6400	enhancer
1-7891	enhancer
1-942	enhancer
1-6903	enhancer
1-6509	enhancer
1-872	enhancer
1-7174	enhancer
1-39	enhancer
1-7520	enhancer
1-3112	enhancer
1-7263	enhancer
1-2126	enhancer
1-6344	enhancer
1-7424	enhancer
1-4718	enhancer
1-2329	enhancer
1-7360	enhancer
1-6102	enhancer
1-3126	enhancer
1-7599	enhancer
1-4871	enhancer
1-3729	promoter
1-3828	enhancer
1-1396	enhancer
1-4415	enhancer
1-3336	enhancer
1-6452	enhancer
1-529	enhancer
1-932	enhancer
1-1500	enhancer
1-5071	enhancer
1-4627	enhancer
1-5087	enhancer
1-1858	enhancer
1-7926	enhancer
1-5023	enhancer
1-7981	enhancer
1-7158	enhancer
1-5844	enhancer
1-555	enhancer
1-2950	enhancer
1-2182	enhancer
1-4418	enhancer
1-6416	enhancer
1-5008	enhancer
1-292	enhancer
1-71	enhancer
1-3278	enhancer
1-1690	enhancer
1-8233	enhancer
1-733	enhancer
1-557	enhancer
1-4719	enhancer
1-1998	enhancer
1-6482	enhancer
1-7257	enhancer
1-7227	enhancer
1-5851	enhancer
1-1844	enhancer
1-5055	enhancer
1-793	enhancer
1-615	enhancer
1-2904	enhancer
1-2057	enhancer
1-6879	enhancer
1-3213	enhancer
1-3983	enhancer
1-3252	enhancer
1-3532	enhancer
1-193	enhancer
1-8198	enhancer
1-3401	enhancer
1-797	enhancer
1-1937	enhancer
1-6153	enhancer
1-1331	enhancer
1-3297	enhancer
1-2947	enhancer
1-748	enhancer
1-1720	enhancer
1-4351	enhancer
1-3656	enhancer
1-5588	enhancer
1-3307	enhancer
1-7844	enhancer
1-6721	enhancer
1-7629	enhancer
1-7752	enhancer
1-2049	enhancer
1-6635	enhancer
1-3211	enhancer
1-2521	enhancer
1-824	enhancer
1-6064	promoter
1-7571	enhancer
1-599	enhancer
1-2708	enhancer
1-4979	enhancer
1-2725	enhancer
1-3182	enhancer
1-3934	enhancer
1-521	promoter
1-4507	enhancer
1-383	enhancer
1-4147	enhancer
1-85	enhancer
1-1671	enhancer
1-2948	enhancer
1-8165	enhancer
1-949	enhancer
1-7361	enhancer
1-2756	enhancer
1-4222	enhancer
1-8023	enhancer
1-2150	enhancer
1-3255	enhancer
1-5894	enhancer
1-7104	enhancer
1-6579	enhancer
1-3296	enhancer
1-8094	promoter
1-385	enhancer
1-1395	enhancer
1-1903	enhancer
1-988	enhancer
1-4518	enhancer
1-4206	enhancer
1-4492	enhancer
1-4946	enhancer
1-5333	enhancer
1-2062	enhancer
1-4104	enhancer
1-1589	enhancer
1-2157	enhancer
1-7043	enhancer
1-4280	enhancer
1-4234	enhancer
1-70	enhancer
1-5469	enhancer
1-1048	enhancer
1-4898	enhancer
1-4499	enhancer
1-3722	enhancer
1-4150	enhancer
1-1878	enhancer
1-3584	enhancer
1-1438	enhancer
1-2017	enhancer
1-7721	enhancer
1-754	enhancer
1-1590	enhancer
1-4856	enhancer
1-3388	enhancer
1-3350	enhancer
1-2333	enhancer
1-4084	enhancer
1-7292	enhancer
1-3513	enhancer
1-442	enhancer
1-5052	enhancer
1-2198	enhancer
1-4520	enhancer
1-3280	enhancer
1-6796	enhancer
1-6595	enhancer
1-7589	enhancer
1-8265	enhancer
1-5829	enhancer
