PeakID	Annotation
1-32770	enhancer
1-27329	enhancer
1-56442	enhancer
1-71009	enhancer
1-86965	enhancer
1-64555	promoter
1-89620	enhancer
1-70394	enhancer
1-5968	promoter
1-11654	enhancer
1-68386	promoter
1-13284	enhancer
1-28045	enhancer
1-26651	promoter
1-64312	enhancer
1-33159	enhancer
1-28216	enhancer
1-66745	promoter
1-85545	enhancer
1-99722	enhancer
1-105945	enhancer
1-44450	enhancer
1-11990	promoter
1-44431	promoter
1-92965	promoter
1-94639	enhancer
1-50268	enhancer
1-81317	enhancer
1-80232	promoter
1-29438	promoter
1-31896	promoter
1-52678	promoter
1-77250	enhancer
1-109454	promoter
1-32161	enhancer
1-32557	enhancer
1-87892	promoter
1-6536	promoter
1-799	enhancer
1-50990	promoter
1-76725	promoter
1-70744	enhancer
1-61831	enhancer
1-102791	promoter
1-52913	promoter
1-3184	enhancer
1-916	enhancer
1-99071	promoter
1-74859	enhancer
1-86675	enhancer
1-14398	enhancer
1-38073	enhancer
1-9111	enhancer
1-67881	enhancer
1-16611	enhancer
1-46983	enhancer
1-75731	promoter
1-54723	enhancer
1-94229	promoter
1-95525	promoter
1-84142	promoter
1-40185	enhancer
1-37728	promoter
1-69581	enhancer
1-35125	enhancer
1-11175	enhancer
1-39923	enhancer
1-32764	enhancer
1-89825	promoter
1-43717	enhancer
1-64958	promoter
1-105617	enhancer
1-95011	enhancer
1-106402	enhancer
1-22054	enhancer
1-32047	enhancer
1-86681	enhancer
1-104117	promoter
1-35161	enhancer
1-61775	promoter
1-70952	enhancer
1-23810	promoter
1-62262	enhancer
1-83469	enhancer
1-3742	enhancer
1-17622	enhancer
1-103998	promoter
1-31934	promoter
1-106601	enhancer
1-100876	enhancer
1-52725	enhancer
1-67597	enhancer
1-32490	enhancer
1-9442	enhancer
1-24545	enhancer
1-883	promoter
1-72708	enhancer
1-46984	enhancer
1-62870	enhancer
1-93362	promoter
1-22623	enhancer
1-9868	enhancer
1-29030	enhancer
1-58083	promoter
1-86855	enhancer
1-87394	enhancer
1-105474	promoter
1-95543	enhancer
1-13372	enhancer
1-7227	enhancer
1-4892	enhancer
1-1641	enhancer
1-1148	enhancer
1-78534	enhancer
1-20308	enhancer
1-21074	enhancer
1-44229	enhancer
1-8318	enhancer
1-92548	enhancer
1-71745	enhancer
1-73774	promoter
1-48161	enhancer
1-70585	enhancer
1-24143	enhancer
1-17986	enhancer
1-84602	promoter
1-100008	promoter
1-59165	enhancer
1-45831	promoter
1-45235	promoter
1-1955	enhancer
1-39375	enhancer
1-45155	promoter
1-9511	enhancer
1-26495	promoter
1-33512	enhancer
1-9809	enhancer
1-102435	enhancer
1-87918	promoter
1-95986	enhancer
1-95936	enhancer
1-109487	enhancer
1-75420	promoter
1-87171	enhancer
1-40618	enhancer
1-85881	enhancer
1-70325	promoter
1-54082	enhancer
1-57332	enhancer
1-50660	enhancer
1-61195	enhancer
1-90898	promoter
1-46859	promoter
1-59911	enhancer
1-69209	enhancer
1-82626	enhancer
1-52581	promoter
1-109983	enhancer
1-103511	promoter
1-4446	enhancer
1-49675	promoter
1-77351	enhancer
1-49970	promoter
1-43898	promoter
1-67369	enhancer
1-27189	enhancer
1-49707	enhancer
1-19019	enhancer
1-48599	enhancer
1-62324	enhancer
1-92549	enhancer
1-87326	promoter
1-94113	enhancer
1-65389	enhancer
1-102609	enhancer
1-70494	promoter
1-44935	enhancer
1-83284	promoter
1-6131	promoter
1-28315	enhancer
1-9244	promoter
1-105612	enhancer
1-79333	enhancer
1-38972	promoter
1-30813	enhancer
1-68884	promoter
1-107949	enhancer
1-63238	enhancer
1-84976	enhancer
1-55836	promoter
1-84018	enhancer
1-26414	enhancer
1-92792	enhancer
1-6115	promoter
1-91161	enhancer
1-29904	promoter
1-26537	promoter
1-105253	promoter
1-108168	promoter
1-105603	enhancer
1-105671	enhancer
1-88279	enhancer
1-7693	enhancer
1-54912	enhancer
1-30144	promoter
1-72121	enhancer
1-107705	enhancer
1-103863	promoter
1-1919	enhancer
1-31440	promoter
1-89232	enhancer
1-30163	enhancer
1-20542	promoter
1-105600	enhancer
1-88262	enhancer
1-86160	promoter
1-78732	promoter
1-45276	enhancer
1-92083	enhancer
1-80979	enhancer
1-15077	enhancer
1-22099	enhancer
1-4532	enhancer
1-7410	promoter
1-7056	enhancer
1-98337	enhancer
1-56727	enhancer
1-66252	promoter
1-83725	enhancer
1-51972	enhancer
1-96	promoter
1-31626	enhancer
1-93857	enhancer
1-64632	promoter
1-61787	promoter
1-109701	enhancer
1-23057	enhancer
1-2471	enhancer
1-54255	enhancer
1-99404	enhancer
1-49641	promoter
1-85304	enhancer
1-1658	promoter
1-78816	enhancer
1-12071	enhancer
1-77606	enhancer
1-78743	enhancer
1-5705	promoter
1-46	promoter
1-30405	enhancer
1-92700	enhancer
1-97372	enhancer
1-17514	enhancer
1-38426	enhancer
1-29679	enhancer
1-35142	enhancer
1-54786	enhancer
1-62375	enhancer
1-13534	promoter
1-5301	enhancer
1-59973	enhancer
1-100928	enhancer
1-52894	promoter
1-91593	promoter
1-67657	promoter
1-82858	enhancer
1-12787	promoter
1-12257	enhancer
1-25844	enhancer
1-55690	enhancer
1-50190	enhancer
1-67716	enhancer
1-98141	promoter
1-23437	enhancer
1-44105	enhancer
1-12484	promoter
1-79069	promoter
1-2457	enhancer
1-35384	enhancer
1-61937	enhancer
1-45401	enhancer
1-34072	enhancer
1-84434	enhancer
1-78490	enhancer
1-88667	promoter
1-64894	promoter
1-23100	promoter
1-44700	enhancer
1-63873	enhancer
1-711	enhancer
1-92603	promoter
1-83629	promoter
1-6988	promoter
1-104673	enhancer
1-26134	promoter
1-51330	enhancer
1-19815	enhancer
1-109809	promoter
1-94050	enhancer
1-2893	enhancer
1-14606	enhancer
1-50139	enhancer
1-66197	enhancer
1-62801	promoter
