id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper	term_name_final	padj_final	fold_enrichment_final	dataset
GO:0014020	primary neural tube formation	0.012918890866949	119	1.72045518723607	2.67385663592238e-08	1.10029200568206e-05	349680	34	116	1.63348074339454	0.00180784613186281	0.0291023445774688	primary neural tube formation	1.10029200568206e-05	1.72045518723607	mouse_specific
GO:0048469	cell maturation	0.0237019122669878	192	1.51300190769221	3.02900768329126e-08	1.17311685804645e-05	221356	63	244	1.43894374068554	0.00129507334065505	0.0227988312162376	cell maturation	1.17311685804645e-05	1.51300190769221	mouse_specific
GO:0048568	embryonic organ development	0.0683215691132001	470	1.28487730754099	3.24393732163656e-08	1.18656018475862e-05	257117	148	550	1.49965761511216	8.6187618261529e-08	9.00729013704614e-06	embryonic organ development	1.18656018475862e-05	1.28487730754099	mouse_specific
GO:0000380	alternative mRNA splicing, via spliceosome	0.0103111206653134	99	1.79329178314653	5.95059327371737e-08	2.0620371639029e-05	346293	23	90	1.42422438672439	0.0446215050116868	0.232795553880306	alternative mRNA splicing, via spliceosome	2.0620371639029e-05	1.79329178314653	mouse_specific
GO:0030210	heparin proteoglycan biosynthetic process	0.00207166037252281	33	2.9752058154882	7.56630285916597e-08	2.48016703403625e-05	371866	4	10	2.22922077922078	0.0874518950674042	0.331214036394685	heparin proteoglycan biosynthetic process	2.48016703403625e-05	2.9752058154882	mouse_specific
GO:0021782	glial cell development	0.0164077182008658	141	1.60506475113363	8.49200508819332e-08	2.48016703403625e-05	329694	43	148	1.61919752544753	0.00060166160830033	0.0133378452156545	glial cell development	2.48016703403625e-05	1.60506475113363	mouse_specific
GO:0034333	adherens junction assembly	0.0016777721237612	29	3.22839493104442	8.66071640637349e-08	2.48016703403625e-05	168104	7	14	2.78652597402597	0.00627645538102403	0.0699224741601729	adherens junction assembly	2.48016703403625e-05	3.22839493104442	mouse_specific
GO:0055129	L-proline biosynthetic process	0.000181825170816357	10	10.2722984514973	8.66400999131739e-08	2.48016703403625e-05	78394	2	6	1.85768398268398	0.294208794283488	0.59076523553944	L-proline biosynthetic process	2.48016703403625e-05	10.2722984514973	mouse_specific
GO:0001892	embryonic placenta development	0.0125572861996569	114	1.69562843886212	1.05609167143526e-07	2.85231721792168e-05	233048	35	119	1.63913292589763	0.0014632062905476	0.0248934114133473	embryonic placenta development	2.85231721792168e-05	1.69562843886212	mouse_specific
GO:0042255	ribosome assembly	0.00264286847387063	38	2.68552796649835	1.08304876136151e-07	2.85231721792168e-05	239350	10	56	0.995187847866419	0.561371334960406	0.81447088351241	ribosome assembly	2.85231721792168e-05	2.68552796649835	mouse_specific
GO:0048240	sperm capacitation	0.00191639006406152	31	3.02133872039133	1.32778529623616e-07	3.29737764577681e-05	103957	8	40	1.11461038961039	0.429966519869048	0.717102551616736	sperm capacitation	3.29737764577681e-05	3.02133872039133	mouse_specific
GO:0043009	chordate embryonic development	0.0957244601760595	627	1.22339372358423	1.36948561303456e-07	3.29737764577681e-05	267926	212	883	1.33803738730126	2.1868097323048e-06	0.000135634265789274	chordate embryonic development	3.29737764577681e-05	1.22339372358423	mouse_specific
GO:0070914	UV-damage excision repair	0.000641066973576237	17	4.95298657695796	1.40228696964992e-07	3.29737764577681e-05	209985	2	15	0.743073593073593	0.779738025037353	0.92986690035246	UV-damage excision repair	3.29737764577681e-05	4.95298657695796	mouse_specific
GO:0021915	neural tube development	0.0224680325896621	180	1.49633589131568	1.63401064004657e-07	3.70976760485056e-05	293387	54	199	1.51228545324023	0.000824485562393308	0.016806232021045	neural tube development	3.70976760485056e-05	1.49633589131568	mouse_specific
GO:0003281	ventricular septum development	0.0158271931406998	135	1.59313104062218	2.3442026050007e-07	5.14474331710821e-05	380289	29	83	1.94721092160851	0.000160992858674304	0.00475326000677857	ventricular septum development	5.14474331710821e-05	1.59313104062218	mouse_specific
GO:0001843	neural tube closure	0.0123781979114609	111	1.67489347134184	2.74627014393664e-07	5.73860211890612e-05	366689	31	109	1.58499642559276	0.00461695511803291	0.0557197883700842	neural tube closure	5.73860211890612e-05	1.67489347134184	mouse_specific
GO:0019441	L-tryptophan catabolic process to kynurenine	0.000522373292107909	15	5.36329799639029	2.78911403106008e-07	5.73860211890612e-05	496105	1	5	1.11461038961039	0.628020415649678	0.847291040838458	L-tryptophan catabolic process to kynurenine	5.73860211890612e-05	5.36329799639029	mouse_specific
GO:0016322	neuron remodeling	0.00231242219161878	34	2.74620796026129	2.97819323019607e-07	5.94194673563968e-05	176689	8	19	2.34654818865345	0.0123029978433047	0.104575947146152	neuron remodeling	5.94194673563968e-05	2.74620796026129	mouse_specific
GO:2000439	positive regulation of monocyte extravasation	0.000760438643493855	18	4.42109614744131	3.13760268377929e-07	6.07587531470672e-05	149300	3	5	3.34383116883117	0.0433186640786985	0.227440258607776	positive regulation of monocyte extravasation	6.07587531470672e-05	4.42109614744131	mouse_specific
GO:0150105	protein localization to cell-cell junction	0.00221423511120274	33	2.78363212509007	3.28591746881213e-07	6.18128017561688e-05	167856	7	29	1.34521943573668	0.254970751302262	0.562169585980365	protein localization to cell-cell junction	6.18128017561688e-05	2.78363212509007	mouse_specific
GO:0060632	regulation of microtubule-based movement	0.00445027123371722	52	2.18242081822774	3.75958987981742e-07	6.68546606796944e-05	134208	17	67	1.4140579569684	0.0807484454025042	0.319499858491639	regulation of microtubule-based movement	6.68546606796944e-05	2.18242081822774	mouse_specific
GO:0150052	regulation of postsynapse assembly	0.00663279537096531	69	1.94300592457492	3.76333448518288e-07	6.68546606796944e-05	326642	16	62	1.43820695433599	0.0778660295119624	0.31146411804785	regulation of postsynapse assembly	6.68546606796944e-05	1.94300592457492	mouse_specific
GO:0003383	apical constriction	0.000941935207095236	20	3.96579808579393	3.85856182537726e-07	6.68546606796944e-05	249989	3	6	2.78652597402597	0.0752301090636857	0.303687944865302	apical constriction	6.68546606796944e-05	3.96579808579393	mouse_specific
GO:0016199	axon midline choice point recognition	0.00337927799805142	43	2.37665513559332	4.3119777054898e-07	7.27950287511406e-05	478640	5	7	3.98075139146568	0.00282264986807331	0.0400524283004195	axon midline choice point recognition	7.27950287511406e-05	2.37665513559332	mouse_specific
GO:0003190	atrioventricular valve formation	0.00122606977918309	23	3.5037594436823	4.55003071163698e-07	7.4817677052008e-05	225537	5	9	3.09613997113997	0.0123095928065413	0.104575947146152	atrioventricular valve formation	7.4817677052008e-05	3.5037594436823	mouse_specific
GO:0009792	embryo development ending in birth or egg hatching	0.0975004069158251	632	1.21068812651315	4.65905947620342e-07	7.4817677052008e-05	267448	214	901	1.32367715525318	4.29592982393533e-06	0.000233755388105704	embryo development ending in birth or egg hatching	7.4817677052008e-05	1.21068812651315	mouse_specific
GO:0003352	regulation of cilium movement	0.00317404541766436	41	2.41263905107491	5.43223582321693e-07	8.5156763476334e-05	137140	12	48	1.39326298701299	0.139310026262848	0.428562476162726	regulation of cilium movement	8.5156763476334e-05	2.41263905107491	mouse_specific
GO:0033007	negative regulation of mast cell activation involved in immune response	0.00062943956609827	16	4.74774709749592	5.57697765529805e-07	8.53926067034473e-05	257561	2	5	2.22922077922078	0.22121589921022	0.523727249334804	negative regulation of mast cell activation involved in immune response	8.53926067034473e-05	4.74774709749592	mouse_specific
GO:0033006	regulation of mast cell activation involved in immune response	0.000632390232263092	16	4.72559460998899	5.92295807006349e-07	8.62835538957842e-05	257561	2	6	1.85768398268398	0.294208794283488	0.59076523553944	regulation of mast cell activation involved in immune response	8.62835538957842e-05	4.72559460998899	mouse_specific
GO:0001841	neural tube formation	0.0144856704270651	124	1.59883894447968	5.95302105992485e-07	8.62835538957842e-05	338388	36	130	1.54330669330669	0.00390482964245285	0.0494411507036723	neural tube formation	8.62835538957842e-05	1.59883894447968	mouse_specific
GO:1902093	positive regulation of flagellated sperm motility	0.0015428067195099	26	3.14762843083474	6.19717361195848e-07	8.62835538957842e-05	143086	7	17	2.29478609625668	0.0216362557315526	0.154003359715181	positive regulation of flagellated sperm motility	8.62835538957842e-05	3.14762843083474	mouse_specific
GO:2000155	positive regulation of cilium-dependent cell motility	0.0015428067195099	26	3.14762843083474	6.19717361195848e-07	8.62835538957842e-05	143086	7	17	2.29478609625668	0.0216362557315526	0.154003359715181	positive regulation of cilium-dependent cell motility	8.62835538957842e-05	3.14762843083474	mouse_specific
GO:0003007	heart morphogenesis	0.0446343663627411	316	1.32232845005421	6.29041705194052e-07	8.62835538957842e-05	308969	92	297	1.72633258996895	2.84028871040987e-08	3.4000837944252e-06	heart morphogenesis	8.62835538957842e-05	1.32232845005421	mouse_specific
GO:0033600	negative regulation of mammary gland epithelial cell proliferation	0.00136874763254082	24	3.27498634731304	8.35252438299588e-07	0.000104897379340666	525463	3	6	2.78652597402597	0.0752301090636857	0.303687944865302	negative regulation of mammary gland epithelial cell proliferation	0.000104897379340666	3.27498634731304	mouse_specific
GO:0003186	tricuspid valve morphogenesis	0.00156946885134664	26	3.09415652909934	8.45372625101068e-07	0.000104897379340666	211913	5	8	3.48315746753247	0.00641418026270182	0.0703849380827147	tricuspid valve morphogenesis	0.000104897379340666	3.09415652909934	mouse_specific
GO:0003353	positive regulation of cilium movement	0.00157013513080322	26	3.09284353833165	8.51875636585366e-07	0.000104897379340666	143086	7	18	2.16729797979798	0.0300408434334927	0.190181647275112	positive regulation of cilium movement	0.000104897379340666	3.09284353833165	mouse_specific
GO:0106104	regulation of glutamate receptor clustering	0.00117792504509464	22	3.48840305457134	8.57045223785517e-07	0.000104897379340666	205415	3	10	1.67191558441558	0.261131956588721	0.562411776964389	regulation of glutamate receptor clustering	0.000104897379340666	3.48840305457134	mouse_specific
GO:1904717	regulation of AMPA glutamate receptor clustering	0.00117792504509464	22	3.48840305457134	8.57045223785517e-07	0.000104897379340666	205415	3	10	1.67191558441558	0.261131956588721	0.562411776964389	regulation of AMPA glutamate receptor clustering	0.000104897379340666	3.48840305457134	mouse_specific
GO:0097688	glutamate receptor clustering	0.00242796917572162	34	2.6155160014422	8.66581020464759e-07	0.000104897379340666	311965	6	15	2.22922077922078	0.038109005893624	0.220676952333879	glutamate receptor clustering	0.000104897379340666	2.6155160014422	mouse_specific
GO:0000820	regulation of glutamine family amino acid metabolic process	0.000818054064143592	18	4.10971903261158	8.76269116606416e-07	0.000104897379340666	213979	3	7	2.38845083487941	0.114512707315529	0.378934108380542	regulation of glutamine family amino acid metabolic process	0.000104897379340666	4.10971903261158	mouse_specific
GO:0003170	heart valve development	0.0131989016073437	114	1.61320178212574	1.10176273957569e-06	0.000126448836938608	376522	24	69	1.93845285149633	0.00061663501970384	0.0134881228230235	heart valve development	0.000126448836938608	1.61320178212574	mouse_specific
GO:0060606	tube closure	0.0127618551445535	111	1.62454146627194	1.10705638868844e-06	0.000126448836938608	366689	31	110	1.57058736717828	0.00534610665809116	0.0614289114081539	tube closure	0.000126448836938608	1.62454146627194	mouse_specific
GO:0010970	transport along microtubule	0.0148245041251971	125	1.57489451657735	1.11723150780664e-06	0.000126448836938608	187443	47	195	1.34324841824842	0.0180029694585848	0.13605501858639	transport along microtubule	0.000126448836938608	1.57489451657735	mouse_specific
GO:0097052	L-kynurenine metabolic process	0.000747957990385278	17	4.24515301109171	1.13312293125424e-06	0.000126448836938608	440154	3	5	3.34383116883117	0.0433186640786985	0.227440258607776	L-kynurenine metabolic process	0.000126448836938608	4.24515301109171	mouse_specific
GO:0031646	positive regulation of nervous system process	0.0080889868942491	78	1.8010347984609	1.19770456981057e-06	0.00013142811479388	333665	22	54	2.27050264550265	7.44182289509058e-05	0.0026774296142774	positive regulation of nervous system process	0.00013142811479388	1.8010347984609	mouse_specific
GO:0010762	regulation of fibroblast migration	0.00502158282745228	55	2.04570822913667	1.22932441623405e-06	0.000132686425516147	331404	12	52	1.28608891108891	0.211787166653961	0.516676170666544	regulation of fibroblast migration	0.000132686425516147	2.04570822913667	mouse_specific
GO:0060412	ventricular septum morphogenesis	0.0111002550282824	99	1.66580388621937	1.46279369318148e-06	0.000155339252837208	379794	20	47	2.37151146725615	7.55257322757658e-05	0.00270250772447631	ventricular septum morphogenesis	0.000155339252837208	1.66580388621937	mouse_specific
GO:0034137	positive regulation of toll-like receptor 2 signaling pathway	0.000523580451486144	14	4.99420362514687	1.56022332252236e-06	0.000163055719928369	214634	2	7	1.59230055658627	0.366087229070672	0.653052940478445	positive regulation of toll-like receptor 2 signaling pathway	0.000163055719928369	4.99420362514687	mouse_specific
GO:0030202	heparin proteoglycan metabolic process	0.0029749528819746	38	2.38575112949199	1.7775826856528e-06	0.000180800831650786	335292	7	17	2.29478609625668	0.0216362557315526	0.154003359715181	heparin proteoglycan metabolic process	0.000180800831650786	2.38575112949199	mouse_specific
GO:0097113	AMPA glutamate receptor clustering	0.00228533173727424	32	2.61530509925574	1.7849413817286e-06	0.000180800831650786	325614	5	14	1.99037569573284	0.0896332254662611	0.331356067641697	AMPA glutamate receptor clustering	0.000180800831650786	2.61530509925574	mouse_specific
GO:0000027	ribosomal large subunit assembly	0.00133467559686109	23	3.21864996822395	1.85411189090671e-06	0.000184961707420148	310167	5	20	1.39326298701299	0.282481759664899	0.585843148182052	ribosomal large subunit assembly	0.000184961707420148	3.21864996822395	mouse_specific
GO:0021794	thalamus development	0.00198897675388369	29	2.72326512073203	2.47624627028672e-06	0.000243337394680116	148532	4	15	1.48614718614719	0.276126236898827	0.582822578949956	thalamus development	0.000243337394680116	2.72326512073203	mouse_specific
GO:0010738	regulation of protein kinase A signaling	0.00167277918264077	26	2.90306236711168	2.62988381714641e-06	0.000253329801078461	280979	4	8	2.78652597402597	0.0392924425264219	0.2217904596416	regulation of protein kinase A signaling	0.000253329801078461	2.90306236711168	mouse_specific
GO:0035295	tube development	0.15092102049099	930	1.15094573673413	2.65488400279675e-06	0.000253329801078461	263423	330	1249	1.4724636852339	1.02937838625827e-14	6.77742729512445e-12	tube development	0.000253329801078461	1.15094573673413	mouse_specific
GO:1903423	positive regulation of synaptic vesicle recycling	0.00210926625774659	30	2.65651016853913	2.7221963076031e-06	0.000256042006989412	345711	7	17	2.29478609625668	0.0216362557315526	0.154003359715181	positive regulation of synaptic vesicle recycling	0.000256042006989412	2.65651016853913	mouse_specific
GO:0006536	glutamate metabolic process	0.00303343099099101	38	2.33975891307078	2.76230522570639e-06	0.000256155177550012	166760	11	36	1.70287698412698	0.0459628687754213	0.237721545968086	glutamate metabolic process	0.000256155177550012	2.33975891307078	mouse_specific
GO:0071873	response to norepinephrine	0.00127090653397412	22	3.23318608844913	2.85696883096235e-06	0.000261253927542446	256333	5	5	5.57305194805195	0.00018559654433601	0.00531290281699255	response to norepinephrine	0.000261253927542446	3.23318608844913	mouse_specific
GO:0009987	cellular process	0.889246465998428	4863	1.02141858289843	2.91305822129443e-06	0.000262733908616473	221685	3177	17671	1.00195722024566	0.38472021514651	0.673490533508276	cellular process	0.000262733908616473	1.02141858289843	mouse_specific
GO:0019184	nonribosomal peptide biosynthetic process	0.00158379839217627	25	2.94823259994229	3.11447657379996e-06	0.000277104240025661	232196	6	17	1.96695951107716	0.0685129005807749	0.290859317258375	nonribosomal peptide biosynthetic process	0.000277104240025661	2.94823259994229	mouse_specific
GO:0032501	multicellular organismal process	0.605856424943187	3404	1.04940098314333	3.59654696973596e-06	0.000315728869983221	235094	1679	8622	1.08526492934113	7.01883868433763e-07	5.50143260686654e-05	multicellular organismal process	0.000315728869983221	1.04940098314333	mouse_specific
GO:0032928	regulation of superoxide anion generation	0.00160217244571619	25	2.91442164296051	3.78747816876426e-06	0.000328115213988735	72165	13	32	2.2640523538961	0.00224640464305478	0.0342368707635942	regulation of superoxide anion generation	0.000328115213988735	2.91442164296051	mouse_specific
GO:0045110	intermediate filament bundle assembly	0.000415183129420407	12	5.39837663412042	3.92583169163082e-06	0.000335684102048017	285522	1	8	0.696631493506494	0.794517321498346	0.935629054685228	intermediate filament bundle assembly	0.000335684102048017	5.39837663412042	mouse_specific
GO:0098760	response to interleukin-7	0.00161356869501535	25	2.89383778079918	4.26907675887811e-06	0.000360222799022616	213504	5	25	1.11461038961039	0.474262090271371	0.748810935814558	response to interleukin-7	0.000360222799022616	2.89383778079918	mouse_specific
GO:0008154	actin polymerization or depolymerization	0.0172298454836374	138	1.4959577802967	4.32223589349737e-06	0.000360222799022616	187887	43	192	1.2481314258658	0.0670443254431116	0.288890156822463	actin polymerization or depolymerization	0.000360222799022616	1.4959577802967	mouse_specific
GO:0003382	epithelial cell morphogenesis	0.00743026502591145	71	1.78474295871781	4.6975319761911e-06	0.000378999121215221	234497	16	50	1.78337662337662	0.0115842791943275	0.103208246570301	epithelial cell morphogenesis	0.000378999121215221	1.78474295871781	mouse_specific
GO:0034134	toll-like receptor 2 signaling pathway	0.00141434924895291	23	3.03733577163249	4.71175799033353e-06	0.000378999121215221	328776	5	17	1.63913292589763	0.175772912521742	0.478812104279333	toll-like receptor 2 signaling pathway	0.000378999121215221	3.03733577163249	mouse_specific
GO:0048715	negative regulation of oligodendrocyte differentiation	0.00310853133715303	38	2.28323167070166	4.76704099895251e-06	0.000378999121215221	175059	10	18	3.09613997113997	0.000365187807503516	0.00880731327693462	negative regulation of oligodendrocyte differentiation	0.000378999121215221	2.28323167070166	mouse_specific
GO:0071896	protein localization to adherens junction	0.000660719573579033	15	4.24029155932827	4.77778357546528e-06	0.000378999121215221	118901	2	7	1.59230055658627	0.366087229070672	0.653052940478445	protein localization to adherens junction	0.000378999121215221	4.24029155932827	mouse_specific
GO:0006534	cysteine metabolic process	0.00102084966320763	19	3.47626954984497	4.84424882421883e-06	0.00037969683641258	220077	3	11	1.51992325855962	0.314579194774848	0.61302404824102	cysteine metabolic process	0.00037969683641258	3.47626954984497	mouse_specific
GO:0031133	regulation of axon diameter	0.000501570189143253	13	4.84097978580748	5.05317497335482e-06	0.000391412988524331	268862	2	7	1.59230055658627	0.366087229070672	0.653052940478445	regulation of axon diameter	0.000391412988524331	4.84097978580748	mouse_specific
GO:0003175	tricuspid valve development	0.0017392601993249	26	2.79209648763146	5.17757134718516e-06	0.000396385229649617	211913	5	9	3.09613997113997	0.0123095928065413	0.104575947146152	tricuspid valve development	0.000396385229649617	2.79209648763146	mouse_specific
GO:0032930	positive regulation of superoxide anion generation	0.00153805362388547	24	2.91448213500132	5.84354359747542e-06	0.000442228632710094	74550	12	29	2.30609046126287	0.00273959411368531	0.0393831607958605	positive regulation of superoxide anion generation	0.000442228632710094	2.91448213500132	mouse_specific
GO:0006560	proline metabolic process	0.000293271741211409	10	6.36870914635344	6.04158019223137e-06	0.000452020045291493	78394	2	10	1.11461038961039	0.559012774070039	0.811943548307333	proline metabolic process	0.000452020045291493	6.36870914635344	mouse_specific
GO:0043484	regulation of RNA splicing	0.0178202646426497	141	1.47783720718233	6.21246706493775e-06	0.000459582956803934	329176	34	191	0.992061603318148	0.55038038147256	0.808321309751357	regulation of RNA splicing	0.000459582956803934	1.47783720718233	mouse_specific
GO:0090715	immunological memory formation process	0.00123657916671125	21	3.17189646153733	6.30193276224143e-06	0.000460456610747184	161479	6	11	3.03984651711924	0.00672304021192737	0.0717414858271148	immunological memory formation process	0.000460456610747184	3.17189646153733	mouse_specific
GO:0006750	glutathione biosynthetic process	0.00144148087362668	23	2.98016688672262	6.36414817405737e-06	0.000460456610747184	233073	5	15	1.85768398268398	0.11539533525258	0.378934108380542	glutathione biosynthetic process	0.000460456610747184	2.98016688672262	mouse_specific
GO:0003192	mitral valve formation	0.000680667542365865	15	4.11602354534519	6.76539773171048e-06	0.000484167159408498	224504	2	5	2.22922077922078	0.22121589921022	0.523727249334804	mitral valve formation	0.000484167159408498	4.11602354534519	mouse_specific
GO:0007507	heart development	0.0866028032015997	556	1.19912504846678	6.94792394018386e-06	0.000491883131421189	284721	184	703	1.45866509024404	2.20042097188351e-08	2.78607147670789e-06	heart development	0.000491883131421189	1.19912504846678	mouse_specific
GO:0034354	'de novo' NAD+ biosynthetic process from L-tryptophan	0.000870462760128446	17	3.64771045987726	8.1267839144008e-06	0.000569220694600158	450821	3	9	1.85768398268398	0.209027938132326	0.514598284756284	'de novo' NAD+ biosynthetic process from L-tryptophan	0.000569220694600158	3.64771045987726	mouse_specific
GO:0006521	regulation of amino acid metabolic process	0.000969884950421462	18	3.46636202124307	8.81337925605189e-06	0.000610813568651007	213979	3	13	1.28608891108891	0.42097285584296	0.707423502519155	regulation of amino acid metabolic process	0.000610813568651007	3.46636202124307	mouse_specific
GO:0035239	tube morphogenesis	0.122989379267505	764	1.16023879285548	9.27883922730451e-06	0.000636373723672634	272430	260	985	1.47105939745534	9.48027667717547e-12	3.46767453569574e-09	tube morphogenesis	0.000636373723672634	1.16023879285548	mouse_specific
GO:0035235	ionotropic glutamate receptor signaling pathway	0.00801394773701676	74	1.72467332782155	9.3930494550935e-06	0.000637565336209645	368202	12	32	2.08989448051948	0.00704009387243607	0.0738088822549667	ionotropic glutamate receptor signaling pathway	0.000637565336209645	1.72467332782155	mouse_specific
GO:0070269	pyroptotic inflammatory response	0.00345729614965676	40	2.16095161047228	9.59169865533939e-06	0.000644405550477087	312525	11	55	1.11461038961039	0.39839127423211	0.687731554678609	pyroptotic inflammatory response	0.000644405550477087	2.16095161047228	mouse_specific
GO:0006569	L-tryptophan catabolic process	0.000792010620373671	16	3.77320681834067	9.84476639469992e-06	0.000648179419427043	466918	2	9	1.23845598845599	0.499436610573776	0.766858825563838	L-tryptophan catabolic process	0.000648179419427043	3.77320681834067	mouse_specific
GO:0042436	indole-containing compound catabolic process	0.000792010620373671	16	3.77320681834067	9.84476639469992e-06	0.000648179419427043	466918	2	9	1.23845598845599	0.499436610573776	0.766858825563838	indole-containing compound catabolic process	0.000648179419427043	3.77320681834067	mouse_specific
GO:0045647	negative regulation of erythrocyte differentiation	0.00117792768906073	20	3.17126838593875	1.03602132646927e-05	0.000675362813215217	189328	3	11	1.51992325855962	0.314579194774848	0.61302404824102	negative regulation of erythrocyte differentiation	0.000675362813215217	3.17126838593875	mouse_specific
GO:0070189	kynurenine metabolic process	0.00128607987769829	21	3.0498114085433	1.12153026130113e-05	0.00072393678827516	410845	4	10	2.22922077922078	0.0874518950674042	0.331214036394685	kynurenine metabolic process	0.00072393678827516	3.0498114085433	mouse_specific
GO:0007029	endoplasmic reticulum organization	0.00611279522728464	60	1.83329787880015	1.13892495290492e-05	0.000728027367953978	220025	22	100	1.22607142857143	0.175237821251394	0.478812104279333	endoplasmic reticulum organization	0.000728027367953978	1.83329787880015	mouse_specific
GO:0001838	embryonic epithelial tube formation	0.0188344953255869	146	1.44783976791816	1.17592093644537e-05	0.000739202215814164	331999	45	152	1.64991669514696	0.000288951382510691	0.00734856700594564	embryonic epithelial tube formation	0.000739202215814164	1.44783976791816	mouse_specific
GO:0003002	regionalization	0.0546753329932715	366	1.25029150902672	1.17886137090655e-05	0.000739202215814164	265480	123	460	1.4901856295878	1.47803964064378e-06	9.82971009494813e-05	regionalization	0.000739202215814164	1.25029150902672	mouse_specific
GO:0007520	myoblast fusion	0.0057187041485524	57	1.86165353565798	1.21610227353447e-05	0.00075023490570228	329711	12	54	1.23845598845599	0.25304522485004	0.561905484118943	myoblast fusion	0.00075023490570228	1.86165353565798	mouse_specific
GO:0031643	positive regulation of myelination	0.00336973101418275	39	2.16167801220923	1.21924566995966e-05	0.00075023490570228	298978	11	26	2.35782967032967	0.00332233753302674	0.0447326591358855	positive regulation of myelination	0.00075023490570228	2.16167801220923	mouse_specific
